preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
cable_residual {'update': 60, 'best_loss': 1.2583330406728221, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 61, 'best_loss': 1.256467709686033, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 62, 'best_loss': 1.256467709686033, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 63, 'best_loss': 1.256467709686033, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 64, 'best_loss': 1.256467709686033, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 65, 'best_loss': 1.256467709686033, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 66, 'best_loss': 1.2534045118181278, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 67, 'best_loss': 1.2534045118181278, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 68, 'best_loss': 1.2534045118181278, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 69, 'best_loss': 1.2534045118181278, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 70, 'best_loss': 1.2534045118181278, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 71, 'best_loss': 1.2475993889361188, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 72, 'best_loss': 1.2475993889361188, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 73, 'best_loss': 1.2475993889361188, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 74, 'best_loss': 1.2475993889361188, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 75, 'best_loss': 1.2475993889361188, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 76, 'best_loss': 1.2429290665161603, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 77, 'best_loss': 1.2429290665161603, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 78, 'best_loss': 1.2429290665161603, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 79, 'best_loss': 1.2429290665161603, 'stopping': 'practical plateau; no update ceiling'}
