preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
cable_residual {'update': 83, 'best_loss': 0.8726527376780417, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 84, 'best_loss': 0.8726527376780417, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 85, 'best_loss': 0.8726527376780417, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 86, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 87, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 88, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 89, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 90, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 91, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 92, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 93, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 94, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 95, 'best_loss': 0.8707074692275281, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 96, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 97, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 98, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 99, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 100, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 101, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 102, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 103, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 104, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 105, 'best_loss': 0.8676321904247967, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 106, 'best_loss': 0.8655132317640326, 'stopping': 'practical plateau; no update ceiling'}
cable_residual {'update': 107, 'best_loss': 0.8655132317640326, 'stopping': 'practical plateau; no update ceiling'}
