Evaluating frozen parent before any update {}
combined validation M6
[W915 19:28:16.000000000 Context.cpp:448] Warning: torch.backends.cuda.preferred_linalg_library is an experimental feature. If you see any error or unexpected behavior when this flag is set please file an issue on GitHub. (function operator ())
preparing full model training {}
drone_nominal {'delay_s': 0.0, 'windows': 81}
drone_residual {'update': 152, 'best_loss': 3.2766240544934773, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 153, 'best_loss': 3.2766240544934773, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 154, 'best_loss': 3.2766240544934773, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 155, 'best_loss': 3.2766240544934773, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 156, 'best_loss': 3.2728673627504627, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 157, 'best_loss': 3.2728673627504627, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 158, 'best_loss': 3.2728673627504627, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 159, 'best_loss': 3.2728673627504627, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 160, 'best_loss': 3.2728673627504627, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 161, 'best_loss': 3.269141312939808, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 162, 'best_loss': 3.269141312939808, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 163, 'best_loss': 3.269141312939808, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 164, 'best_loss': 3.269141312939808, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 165, 'best_loss': 3.269141312939808, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 166, 'best_loss': 3.26544510701241, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 167, 'best_loss': 3.26544510701241, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 168, 'best_loss': 3.26544510701241, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 169, 'best_loss': 3.26544510701241, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 170, 'best_loss': 3.26544510701241, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 171, 'best_loss': 3.2617780698670624, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 172, 'best_loss': 3.2617780698670624, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 173, 'best_loss': 3.2617780698670624, 'stopping': 'practical plateau; no update ceiling'}
drone_residual {'update': 174, 'best_loss': 3.2617780698670624, 'stopping': 'practical plateau; no update ceiling'}
